Name,Position,Age,Nationality,Fee,Transfer_Type
Declan Rice,,,England,116.60m,Arrival
Kai Havertz,,,Germany,75.00m,Arrival
Jurrien Timber,,,Netherlands,40.00m,Arrival
David Raya,,,Spain,Loan,Arrival
Folarin Balogun,,,United States,Loan,Arrival
Nicolas Pépé,,,Cote d'Ivoire,Loan,Arrival
Nuno Tavares,,,Portugal,Loan,Arrival
Albert Sambi Lokonga,,,Belgium,Loan,Arrival
Marquinhos,,,Brazil,Loan,Arrival
Pablo Marí,,,Spain,Loan,Arrival
Cédric Soares,,,Portugal,Loan,Arrival
Arthur Okonkwo,,,England,Loan,Arrival
Arthur Okonkwo,,,England,Loan,Arrival
Rúnar Alex Rúnarsson,,,Iceland,Loan,Arrival
Rúnar Alex Rúnarsson,,,Iceland,Loan,Arrival
Folarin Balogun,,,United States,30.00m,Departure
Granit Xhaka,,,Switzerland,15.00m,Departure
Matt Turner,,,United States,8.15m,Departure
Pablo Marí,,,Spain,6.20m,Departure
Auston Trusty,,,United States,5.80m,Departure
Kieran Tierney,,,Scotland,Loan,Departure
Rob Holding,,,England,1.20m,Departure
Nuno Tavares,,,Portugal,Loan,Departure
Marquinhos,,,Brazil,Loan,Departure
Nicolas Pépé,,,Cote d'Ivoire,Free,Departure
Ainsley Maitland-Niles,,,England,Free,Departure
Rúnar Alex Rúnarsson,,,Iceland,Free,Departure
Albert Sambi Lokonga,,,Belgium,Loan,Departure
Marquinhos,,,Brazil,Loan,Departure
Arthur Okonkwo,,,England,Loan,Departure
Rúnar Alex Rúnarsson,,,Iceland,Loan,Departure
